nome;lat;lng;tipo
Shoebiz Comercio De Calcados Ltda;-239.655.381.219.445;-463.845.901.285.524;verde
Ea9 Fashion Com De Roupas E Calcado;-235.989.110.180.399;-464.855.585.030.813;verde
Mag Stok Magazine E Calc Ltda Epp;-236.023.311.615.934;-464.823.782.228.994;verde
Waldenize De Oliveira Bigonha Epp;-236.108.418.264.228;-464.759.934.735.591;verde
Somos Comercio E Coworking Ltda;-235.645.476.059.834;-466.838.488.375.338;verde
Marechal Tito Calc E Bols Ltda Epp;-234.943.086.450.894;-464.380.424.653.163;verde
Jofan Com De Cal Roupas E Ac Ltda;-234.904.947.660.209;-465.743.119.061.023;verde
Magazine Mundial Ltda;-235.406.118.521.089;-466.158.770.465.769;verde
Pontal Calcados E Acessorios Ltda;-235.410.456.700.342;-466.162.929.863.175;verde
Poliana Beatriz Campanati Peixoto;-237.115.931.626.406;-465.493.213.042.435;verde
Darc Magazine E Calcados Eireli Epp;-235.915.879.386.572;-465.496.257.928.372;verde
Novavilar Calcados Lt Epp;-236.024.537.847.072;-465.276.179.169.766;verde
Cl Calcados Ltda Epp;-235.648.882.030.229;-466.664.518.148.091;verde
H 2 S 4 CONFECCAO E CALCADOS LTDA;-23.562.636.970.172;-466.695.871.120.923;verde
H 2 S 4 Confeccao E Calcados Ltda;-235.626.111.894.349;-466.695.947.373.803;verde
La De Alvarenga Me;-239.645.798.155.265;-463.205.839.497.935;verde
Leval Magazine E Calcados Ltda Epp;-235.355.715.373.036;-4.645.559.408.978;verde
Danilo Maltez Comercio De Roupas E;-235.278.008.194.103;-466.801.223.619.214;verde
Sociedade Esportiva Palmeiras;-235.280.443.673.803;-466.795.909.619.213;verde
H 2 S 4 Confeccao E Calcados Ltda;-23.527.619.560.392;-46.680.234.726.725;verde
Tenisstar Comercio De Calcados Ltda;-234.737.373.565.138;-466.674.594.359.883;verde
P P Calcados Ltda Me;-234.723.892.087.257;-466.671.813.998.247;verde
Fazane Calcados E Bolsas Ltda Me;-23.472.083.634.439;-466.670.516.349.388;verde
Shoemax Magazine Ltda Me;-234.909.548.478.777;-464.792.147.754.146;verde
Talie Ind Com Exp E Imp De Conf De Ltda;-235.340.005.733.222;-467.258.435.617.524;verde
Dib S Modas Ltda;-235.227.976.923.609;-465.475.015.016.653;verde
